"sample","BC1","BC2","BC3","BC4","BC5","BC6","BC7","BC12","BC9","BC10"
"ENSG00000006576.16",599,2238,506,1417,764,1669,1199,1026,918,494
"ENSG00000006606.8",10,5,1,50,451,6,48,2,3,10
"ENSG00000006607.13",334,877,521,770,597,723,1026,369,346,236
"ENSG00000006611.15",0,4,0,18,10,1,16,0,29,3
"ENSG00000006625.17",1145,3882,571,1970,3478,887,1446,938,1762,1784
"ENSG00000006634.7",552,1381,378,468,482,519,1087,610,537,455
"ENSG00000006638.11",26,40,57,114,47,47,30,14,12,18
"ENSG00000006652.13",725,2800,375,1527,709,791,777,801,689,676
"ENSG00000006659.12",1,0,0,0,0,5,4,1,4,1
"ENSG00000006695.10",286,228,109,349,575,392,380,378,242,138
"ENSG00000006704.10",545,799,358,1178,1191,684,918,252,999,109
"ENSG00000006712.14",988,1551,1882,3282,2450,1188,1246,669,2483,367
"ENSG00000006715.15",695,2593,610,2593,991,1671,1125,1043,1527,403
"ENSG00000006740.16",171,47,115,155,153,247,165,102,17,53
"ENSG00000006744.18",921,872,538,1233,2882,1248,1795,854,910,391
"ENSG00000006747.14",50,99,20,708,32,77,66,45,73,41
"ENSG00000006756.15",415,1108,949,1989,1974,1578,1532,835,976,370
"ENSG00000006757.11",104,2051,291,1310,666,1187,1154,901,407,374
"ENSG00000006788.13",5,3,3,12,6,17,9,3,4,3
"ENSG00000006831.9",1038,2468,2192,7673,1796,3322,5064,1706,2660,1179
"ENSG00000006837.11",12,49,9,47,10,39,36,9,4,9
"ENSG00000007001.12",1,0,4,4,0,22,8,0,0,4
"ENSG00000007038.10",1,4,73,7,9,51,32,6,1,3
"ENSG00000007047.14",951,972,1131,2333,2103,707,1087,349,1013,220
"ENSG00000007062.11",417,7,12,4489,36,12,490,64,1331,290
"ENSG00000007080.10",1167,1523,1193,2796,2511,888,1661,709,1065,697
"ENSG00000007129.17",4,7,12,80,12,18,13,15,4,7
"ENSG00000007168.12",1152,1500,987,2369,1568,3114,2233,1466,1438,720
"ENSG00000007171.16",16,1,8,8,4,9,42,3,5,1
"ENSG00000007174.17",11,1,0,38,7,145,7,3,3,2
"ENSG00000007202.14",1357,4098,3092,5228,2404,4473,3675,2052,5549,1066
"ENSG00000007216.14",3,13,7,150,15,7,2,91,30,0
"ENSG00000007237.18",127,102,117,645,378,520,442,141,266,175
"ENSG00000007255.10",376,1297,1019,2174,1162,757,853,795,357,258
"ENSG00000007264.14",32,96,262,34,556,52,177,161,21,99
"ENSG00000007306.14",1,1,0,1,3,0,1,3,2,14
"ENSG00000007312.12",85,196,48,54,93,92,83,43,33,152
"ENSG00000007314.12",41,49,55,13,6,10,122,3,9,9
"ENSG00000007341.18",123,494,292,440,114,168,382,122,97,87
"ENSG00000007350.16",0,0,0,1,1,0,7,1,0,0
"ENSG00000007372.21",2,0,0,7,1,2,3,2,0,34
"ENSG00000007376.7",529,1057,594,2656,1079,620,1039,574,1941,228
"ENSG00000007384.15",217,1039,643,3747,1029,1220,1140,401,804,120
"ENSG00000007392.16",645,2574,1124,2697,1688,1393,1729,530,1019,401
"ENSG00000007402.11",52,975,768,818,994,319,372,18,114,18
"ENSG00000007516.13",8,969,534,3183,283,1383,244,127,76,20
"ENSG00000007520.3",378,728,425,2374,759,829,929,377,1082,310
"ENSG00000007541.16",461,1609,1010,5680,2176,1453,890,342,923,294
"ENSG00000007545.15",231,828,456,1233,465,368,966,137,437,111
"ENSG00000007866.19",190,433,489,1985,1165,983,820,266,952,257
"ENSG00000007908.15",52,39,27,67,2,5,43,11,23,102
"ENSG00000007923.15",202,352,350,718,272,440,1106,214,595,181
"ENSG00000007933.12",7,207,17,30,53,47,4,62,10,104
"ENSG00000007944.14",205,983,531,2038,573,1965,550,550,670,467
"ENSG00000007952.17",77,191,37,106,36,30,18,21,13,19
"ENSG00000007968.6",184,502,364,267,314,268,303,65,286,50
"ENSG00000008018.8",3775,4405,3497,3567,10602,2907,5642,3577,4049,2999
"ENSG00000008056.13",12,197,15,50,988,28,88,1,45,5
"ENSG00000008083.13",757,280,554,846,535,658,3675,172,553,431
"ENSG00000008086.11",168,262,162,316,184,350,734,109,128,90
"ENSG00000008118.9",8,9,12,2,6,76,11,2,2,2
"ENSG00000008128.22",7,27,9,16,10,14,15,0,4,8
"ENSG00000008130.15",814,1477,1094,2122,1007,1289,1814,470,1000,688
"ENSG00000008196.12",146,3,4,2,4035,6,21,119,50,1535
"ENSG00000008197.4",0,0,0,0,0,0,0,0,0,0
"ENSG00000008226.19",2,12,8,11,11,28,25,2,13,9
"ENSG00000008256.15",244,2143,764,2186,556,1011,644,360,375,335
"ENSG00000008277.14",112,217,105,327,26,330,202,127,109,68
"ENSG00000008282.8",1260,3030,4064,5516,1718,3147,2993,3262,2241,2690
"ENSG00000008283.15",1219,7457,4626,10779,3903,3115,6623,1793,5844,4848
"ENSG00000008294.20",653,2056,5950,2482,762,2257,5112,572,1936,701
"ENSG00000008300.16",1146,1251,471,40,2555,146,998,60,250,136
"ENSG00000008311.14",103,35,43,35,19,76,874,11,44,39
"ENSG00000008323.15",179,417,81,945,146,90,323,210,460,86
"ENSG00000008324.11",1131,1793,445,629,938,829,735,639,472,460
"ENSG00000008382.15",124,401,108,603,123,237,193,135,442,100
"ENSG00000008394.12",3587,220,45,102,3735,50,4790,2879,3121,6569
"ENSG00000008405.11",242,1043,237,516,234,471,822,304,274,322
"ENSG00000008438.4",2,2,1,0,0,3,3,0,1,1
"ENSG00000008441.16",1249,73,2899,4115,5998,712,338,191,792,259
"ENSG00000008513.14",272,3959,8268,1035,1457,942,758,14386,2257,348
"ENSG00000008516.16",18,144,579,581,308,57,208,30,95,24
"ENSG00000008517.16",435,435,272,3149,933,1050,437,430,192,360
"ENSG00000008710.19",387,4293,1096,2273,1835,1604,2157,333,1059,363
"ENSG00000008735.13",1278,1168,550,1379,1185,292,492,257,302,965
"ENSG00000008838.19",892,1517,536,2454,1228,1341,1260,3114,861,1153
"ENSG00000008853.16",80,121,234,349,156,184,286,163,124,39
"ENSG00000008869.11",223,736,823,1121,390,597,1016,419,939,368
"ENSG00000008952.16",2645,5604,3678,5932,5557,4706,3007,2998,3389,2193
"ENSG00000008988.9",29714,53674,32226,39901,64024,29942,128095,18330,16737,77880
"ENSG00000009307.15",5942,8310,7522,20341,11098,8354,12881,5270,6153,4614
"ENSG00000009335.17",701,2547,1632,3629,2034,2648,2595,1764,2257,1197
"ENSG00000009413.15",251,303,449,339,155,391,366,220,347,148
"ENSG00000009694.13",2,82,5,5,26,9,43,1,8,18
"ENSG00000009709.11",0,0,0,0,11,0,9,0,716,23
"ENSG00000009724.16",1,33,24,23,9,41,27,3,20,15
"ENSG00000009765.14",2,43,5,11,161,25,40,319,6,883
"ENSG00000009780.15",156,645,220,455,236,268,412,142,214,211
"ENSG00000009790.14",41,74,37,69,19,168,91,44,60,191
"ENSG00000009830.11",120,821,479,671,206,439,807,176,412,277
"ENSG00000009844.15",1135,1396,908,1600,1944,1123,1608,1613,1189,1069
"ENSG00000009950.15",565,73,27,46,132,15,21,10,10,6
"ENSG00000009954.10",2179,2803,1741,3607,2418,2234,2435,757,1763,615
"ENSG00000010017.12",780,3058,744,3447,1065,2034,1881,664,1852,916
"ENSG00000010030.13",251,87,39,473,51,71,78,47,41,40
"ENSG00000010072.15",316,557,237,542,462,519,418,290,395,133
"ENSG00000010165.19",666,867,563,1042,1089,1273,1829,1225,1650,416
"ENSG00000010219.13",259,443,249,432,872,555,475,222,343,276
"ENSG00000010244.18",2323,4920,2820,4689,3353,4689,4239,2408,1647,3280
"ENSG00000010256.10",4680,5549,3211,4862,11876,3522,3791,2622,929,1334
"ENSG00000010270.13",391,3788,419,1678,537,1500,1460,1587,1198,860
"ENSG00000010278.12",1288,28911,8856,27448,15265,15821,13048,13924,11932,8099
"ENSG00000010282.14",7,0,0,0,2,1,0,0,2,0
"ENSG00000010292.12",1442,1525,1165,1146,2142,1373,3343,724,1431,415
"ENSG00000010295.19",54,225,70,211,137,275,306,58,84,172
"ENSG00000010310.8",2,31,307,142,12,198,153,4,13,24
"ENSG00000010318.20",15,197,81,173,85,172,119,64,16,21
"ENSG00000010319.6",217,93,279,674,244,148,106,86,133,81
"ENSG00000010322.15",541,2407,1998,2457,2253,2289,1715,495,755,568
"ENSG00000010327.10",340,806,442,592,212,983,727,159,275,555
"ENSG00000010361.13",315,602,198,697,202,536,427,125,259,14
"ENSG00000010379.15",0,3,1,2,2,1,0,0,3,4
"ENSG00000010404.17",422,1631,1396,3511,732,3338,2599,896,3254,535
"ENSG00000010438.16",30,0,0,0,1,1,6,3,1,0
"ENSG00000010539.11",169,306,163,643,433,368,374,153,149,180
"ENSG00000010610.9",576,389,347,532,630,755,457,269,360,393
"ENSG00000010626.14",65,718,207,725,376,431,475,174,207,132
"ENSG00000010671.15",88,200,58,163,91,276,187,125,107,186
"ENSG00000010704.18",41,67,72,661,216,614,261,123,335,155
"ENSG00000010803.16",400,706,626,1230,723,776,790,263,772,292
"ENSG00000010810.17",267,290,366,439,301,477,819,196,204,261
"ENSG00000010818.9",416,367,308,528,762,530,520,310,379,251
"ENSG00000010932.16",72,35,27,86,109,370,160,65,99,135
"ENSG00000011007.12",745,1084,1137,1344,987,1332,1444,471,1103,520
"ENSG00000011009.10",1602,1184,1376,3809,1844,620,1929,480,998,713
"ENSG00000011021.21",118,359,231,289,170,261,487,41,261,107
"ENSG00000011028.13",585,234,402,2734,2563,855,974,613,408,331
"ENSG00000011052.21",0,0,0,0,0,0,0,0,0,0
"ENSG00000011083.8",0,1,1,1,4,1,26,1,1,0
"ENSG00000011105.12",437,493,759,3025,2375,641,1765,549,2055,778
"ENSG00000011114.14",13,27,32,27,20,67,77,39,54,21
"ENSG00000011132.11",174,390,357,499,255,395,342,135,253,124
"ENSG00000011143.16",160,623,1038,504,464,396,1336,61,203,87
"ENSG00000011198.7",289,758,249,922,636,802,417,581,252,195
"ENSG00000011201.11",65,1180,47,272,183,255,2112,322,677,149
"ENSG00000011243.17",347,995,1508,1071,797,731,843,172,438,191
"ENSG00000011258.15",695,719,3009,723,624,807,3286,239,795,219
"ENSG00000011260.13",547,2593,6954,1629,632,1375,6871,535,1104,529
"ENSG00000011275.18",476,832,586,2239,985,1067,920,365,1127,255
"ENSG00000011295.15",671,1887,858,1544,2594,2769,1453,884,994,561
"ENSG00000011304.19",3949,5202,5897,7393,8135,4789,9253,1962,3761,1438
"ENSG00000011332.19",19,40,4,18,18,21,147,2,39,0
"ENSG00000011347.9",1262,6919,828,3966,4001,907,1861,703,5176,107
"ENSG00000011376.9",518,833,418,1030,909,575,806,283,164,113
"ENSG00000011405.13",513,1432,907,2937,1178,2160,2164,728,1208,716
"ENSG00000011422.11",1440,381,84,1200,918,479,554,374,165,229
"ENSG00000011426.10",752,1389,618,716,902,679,1786,694,740,395
"ENSG00000011451.17",1179,1511,1386,1961,1893,1059,1158,500,3383,419
"ENSG00000011454.16",554,1118,764,1263,1026,1138,1515,753,893,549
"ENSG00000011465.16",1014,1733,1045,14332,5271,26097,9871,15884,3279,9175
"ENSG00000011478.11",186,646,270,580,220,291,426,210,267,246
"ENSG00000011485.14",884,1943,1338,2868,1246,1473,2401,706,1203,431
"ENSG00000011523.13",198,442,363,1075,386,600,689,335,737,175
"ENSG00000011566.14",317,1124,738,1406,443,724,1423,1114,755,749
"ENSG00000011590.13",16,25,9,15,24,13,22,14,19,9
"ENSG00000011600.11",1252,1622,578,1153,2230,1410,1180,886,417,1058
